lambda,n,angle,h,TM
1300,1.5,66,3200,0.291911417
1300,1.5,66,3400,0.310207159
1300,1.5,66,3600,0.324447069
1300,1.5,66,3800,0.332267519
1300,1.5,66,4000,0.335369345
1300,1.5,68,2000,0.139820104
1300,1.5,68,2200,0.165318816
1300,1.5,68,2400,0.190417481
1300,1.5,68,2600,0.215190735
1300,1.5,68,2800,0.23950396
1300,1.5,68,3000,0.260397801
1300,1.5,68,3200,0.277087559
1300,1.5,68,3400,0.291365004
1300,1.5,68,3600,0.301447263
1300,1.5,68,3800,0.304348043
1300,1.5,68,4000,0.301640004
1300,1.5,70,2000,0.136489803
1300,1.5,70,2200,0.161193083
1300,1.5,70,2400,0.18493711
1300,1.5,70,2600,0.208039967
1300,1.5,70,2800,0.230581328
1300,1.5,70,3000,0.249080338
1300,1.5,70,3200,0.262269703
1300,1.5,70,3400,0.272505091
1300,1.5,70,3600,0.278612758
1300,1.5,70,3800,0.277157806
1300,1.5,70,4000,0.269333829
1300,1.6,50,2000,0.294536343
1300,1.6,50,2200,0.348297405
1300,1.6,50,2400,0.402056577
1300,1.6,50,2600,0.457750619
1300,1.6,50,2800,0.514779291
1300,1.6,50,3000,0.570187987
1300,1.6,50,3200,0.624118571
1300,1.6,50,3400,0.677171492
1300,1.6,50,3600,0.7272446
1300,1.6,50,3800,0.773141344
1300,1.6,50,4000,0.815512782
1300,1.6,52,2000,0.292041653
1300,1.6,52,2200,0.345214693
1300,1.6,52,2400,0.398220314
1300,1.6,52,2600,0.452678216
1300,1.6,52,2800,0.508366848
1300,1.6,52,3000,0.562445392
1300,1.6,52,3200,0.614537054
1300,1.6,52,3400,0.665244871
1300,1.6,52,3600,0.712957924
1300,1.6,52,3800,0.756159698
1300,1.6,52,4000,0.795035614
1300,1.6,54,2000,0.288775079
1300,1.6,54,2200,0.341093233
1300,1.6,54,2400,0.393103926
1300,1.6,54,2600,0.445986411
1300,1.6,54,2800,0.499802597
1300,1.6,54,3000,0.552004132
1300,1.6,54,3200,0.60168699
1300,1.6,54,3400,0.649178399
1300,1.6,54,3600,0.693485656
1300,1.6,54,3800,0.733005324
1300,1.6,54,4000,0.767139264
1300,1.6,56,2000,0.284886044
1300,1.6,56,2200,0.33609763
1300,1.6,56,2400,0.386911615
1300,1.6,56,2600,0.437970873
1300,1.6,56,2800,0.489426115
1300,1.6,56,3000,0.539204398
1300,1.6,56,3200,0.586001319
1300,1.6,56,3400,0.629517366
1300,1.6,56,3600,0.669370796
1300,1.6,56,3800,0.704275142
1300,1.6,56,4000,0.732633779
1300,1.6,58,2000,0.280514409
1300,1.6,58,2200,0.330387044
