lambda (nm),n,alpha (deg),f,TM
1300,1.5,42,0.48,0.778151716
1300,1.5,42,0.5,0.774806068
1300,1.5,44,0.3,0.478799793
1300,1.5,44,0.32,0.542772061
1300,1.5,44,0.34,0.596602949
1300,1.5,44,0.36,0.638240047
1300,1.5,44,0.38,0.667559273
1300,1.5,44,0.4,0.686045659
1300,1.5,44,0.42,0.696009626
1300,1.5,44,0.44,0.700143809
1300,1.5,44,0.46,0.700768476
1300,1.5,44,0.48,0.699753505
1300,1.5,44,0.5,0.698277068
1300,1.5,46,0.3,0.428489483
1300,1.5,46,0.32,0.486038664
1300,1.5,46,0.34,0.534912237
1300,1.5,46,0.36,0.573074722
1300,1.5,46,0.38,0.600162076
1300,1.5,46,0.4,0.617280943
1300,1.5,46,0.42,0.626337305
1300,1.5,46,0.44,0.629711887
1300,1.5,46,0.46,0.629519382
1300,1.5,46,0.48,0.627464253
1300,1.5,46,0.5,0.624606713
1300,1.5,48,0.3,0.376302124
1300,1.5,48,0.32,0.428000878
1300,1.5,48,0.34,0.472357495
1300,1.5,48,0.36,0.507366681
1300,1.5,48,0.38,0.53244454
1300,1.5,48,0.4,0.548310928
1300,1.5,48,0.42,0.556429604
1300,1.5,48,0.44,0.558748687
1300,1.5,48,0.46,0.556892726
1300,1.5,48,0.48,0.55163704
1300,1.5,48,0.5,0.540921115
1300,1.5,50,0.3,0.325323553
1300,1.5,50,0.32,0.371218391
1300,1.5,50,0.34,0.411041187
1300,1.5,50,0.36,0.442850061
1300,1.5,50,0.38,0.46584478
1300,1.5,50,0.4,0.480256717
1300,1.5,50,0.42,0.486754458
1300,1.5,50,0.44,0.485511225
1300,1.5,50,0.46,0.469637255
1300,1.5,50,0.48,0.166001399
1300,1.5,50,0.5,0.505508505
1300,1.6,30,0.3,0.760498821
1300,1.6,30,0.32,0.838774731
1300,1.6,30,0.34,0.896948615
1300,1.6,30,0.36,0.935338117
1300,1.6,30,0.38,0.957072413
1300,1.6,30,0.4,0.966609872
1300,1.6,30,0.42,0.968503283
1300,1.6,30,0.44,0.966544924
1300,1.6,30,0.46,0.96347873
1300,1.6,30,0.48,0.961245522
1300,1.6,30,0.5,0.960823292
1300,1.6,32,0.3,0.756542149
1300,1.6,32,0.32,0.835152279
1300,1.6,32,0.34,0.893840934
1300,1.6,32,0.36,0.932777997
